Athlete,Year,Gold Medals,Silver Medals,Bronze Medals
Yuliya Ratkeviç,2012,0,0,1
Jackeline Rentería,2012,0,0,1
Ghasem Rezaei,2012,1,0,0
Coleman Scott,2012,0,0,1
Mingiyan Semyonov,2012,0,0,1
Soronzonboldyn Battsetseg,2012,0,0,1
Hamid Soryan,2012,1,0,0
Mariya Stadnik,2012,0,1,0
S?rif S?rifov,2012,1,0,0
Akzhurek Tanatarov,2012,0,0,1
Artur Taymazov,2012,1,0,0
Soslan Tigiyev,2012,0,0,1
Rustam Totrov,2012,0,1,0
Denis Tsargush,2012,0,0,1
Manuchar Tskhadaia,2012,0,0,1
Maider Unda,2012,0,0,1
Jake Varner,2012,1,0,0
Tonya Verbeek,2012,0,1,0
Roman Vlasov,2012,1,0,0
Lyubov Volosova,2012,0,0,1
Nataliya Vorobyova,2012,1,0,0
Yang Kyong-Il,2012,0,0,1
Tatsuhiro Yonemitsu,2012,1,0,0
Saori Yoshida,2012,1,0,0
Shinichi Yumoto,2012,0,0,1
Stanka Zlateva,2012,0,1,0
Emin ?hm?dov,2012,0,0,1
Togrul ?sg?rov,2012,1,0,0
Yusuf Abdusalomov,2008,0,1,0
Bakhtiyar Akhmedov,2008,0,1,0
Islam-Beka Albiyev,2008,1,0,0
Roman Amoyan,2008,0,0,1
Nazmi Avluca,2008,0,0,1
Khasan Baroyev,2008,0,1,0
Mavlet Batyrov,2008,1,0,0
Rövs?n Bayramov,2008,0,1,0
Kanat Begaliyev,2008,0,1,0
Henry Cejudo,2008,1,0,0
Chang Yongxiang,2008,0,1,0
Taras Danko,2008,0,0,1
Mirko Englich,2008,0,1,0
Vasyl Fedoryshyn,2008,0,1,0
Zoltán Fodor,2008,0,1,0
Murad Gaydarov,2008,0,0,1
Giorgi Gogshelidze,2008,0,0,1
Christophe Guénot,2008,0,0,1
Steeve Guénot,2008,1,0,0
Kyoko Hamaguchi,2008,0,0,1
Carol Huynh,2008,1,0,0
Chiharu Icho,2008,0,1,0
Kaori Icho,2008,1,0,0
Manuchar K'virk'elia,2008,1,0,0
Alyona Kartashova,2008,0,1,0
Georgy Ketoyev,2008,0,0,1
Aslanbek Khushtov,2008,1,0,0
Besik Kudukhov,2008,0,0,1
Sushil Kumar,2008,0,0,1
Mijaín López,2008,1,0,0
Aset Mambetov,2008,0,0,1
Nazyr Mankiyev,2008,1,0,0
Tomohiro Matsunaga,2008,0,1,0
Iryna Merleni-Mykulchyn,2008,0,0,1
Randi Miller,2008,0,0,1
Revaz Mindorashvili,2008,1,0,0
Andrea Minguzzi,2008,1,0,0
Mindaugas Mizgaitis,2008,0,0,1
Seyed Mohammadi,2008,0,0,1
Sharvani Muradov,2008,1,0,0
David Musulbes,2008,0,0,1
Marid Mutalimov,2008,0,0,1
Park Eun-Chul,2008,0,0,1
Yury Patrikeyev,2008,0,0,1
Xetaq Qazyumov,2008,0,0,1
Jackeline Rentería,2008,0,0,1
Vitaliy R?himov,2008,0,1,0
Ramazan Sahin,2008,1,0,0
Buvaisa Saytiyev,2008,1,0,0
Mikhail Semyonov,2008,0,0,1
Yelena Shalygina,2008,0,0,1
Andriy Stadnik,2008,0,1,0
Mariya Stadnik,2008,0,0,1
Artur Taymazov,2008,1,0,0
Nurbakyt Tengizbayev,2008,0,0,1
Kiril Terziev,2008,0,0,1
Soslan Tigiyev,2008,0,1,0
Taymuraz Tigiyev,2008,0,1,0
Otar Tushishvili,2008,0,0,1
Ruslan Tyumenbayev,2008,0,0,1
Armen Vardanian,2008,0,0,1
Radoslav Velikov,2008,0,0,1
Tonya Verbeek,2008,0,0,1
Wang Jiao,2008,1,0,0
Adam Wheeler,2008,0,0,1
Agnieszka Wieszczek,2008,0,0,1
Xu Li,2008,0,1,0
Yavor Yanakiev,2008,0,0,1
Saori Yoshida,2008,1,0,0
Kenichi Yumoto,2008,0,0,1
Stanka Zlateva,2008,0,1,0
Stephen Abas,2004,0,1,0
Ara Abrahamian,2004,0,1,0
Khasan Baroyev,2004,1,0,0
Mavlet Batyrov,2004,1,0,0
Aleksandr Dokturishivili,2004,1,0,0
Seref Eroglu,2004,0,1,0
Iván Fundora,2004,0,0,1
Karam Gaber,2004,1,0,0
Rulon Gardner,2004,0,0,1
Khadzhimurat Gatsalov,2004,1,0,0
Lise Golliot-Legrand,2004,0,0,1
Anna Gomis,2004,0,0,1
Kyoko Hamaguchi,2004,0,0,1
Ali Reza Heidari,2004,0,0,1
Magamed Ibragimov,2004,0,1,0
Chiharu Icho,2004,0,1,0
Kaori Icho,2004,1,0,0
Kenji Inoue,2004,0,0,1
Jeong Ji-Hyeon,2004,1,0,0
Jamill Kelly,2004,0,1,0
Atryom Kyuregyan,2004,0,0,1
Gennady Laliyev,2004,0,1,0
István Majoros,2004,1,0,0
Vyacheslav Makarenko,2004,0,0,1
Gaydar Mamedaliyev,2004,0,1,0
Mkhitar Manukyan,2004,0,0,1
Gyuzel Manyurova,2004,0,1,0
Sara McMann,2004,0,1,0
Iryna Merleni-Mykulchyn,2004,1,0,0
Patricia Miranda,2004,0,0,1
Aleksey Mishin,2004,1,0,0
Roberto Monzón,2004,0,1,0
Masoud Moustafa Gokar,2004,0,1,0
Mun Ui-Je,2004,0,1,0
Makhach Murtazaliyev,2004,0,0,1
F?rid M?nsurov,2004,1,0,0
Armen Nazaryan,2004,0,0,1
Ramaz Nozadze,2004,0,1,0
Mehmet Özal,2004,0,0,1
Aydin Polatçi,2004,0,0,1
Yandro Quintana,2004,1,0,0
Ali Reza Rezaei,2004,0,1,0
Varteres Samurgashev,2004,0,0,1
Cael Sanderson,2004,1,0,0
Buvaisa Saytiyev,2004,1,0,0
Sazhid Sazhidov,2004,0,0,1
Chikara Tanabe,2004,0,0,1
Artur Taymazov,2004,1,0,0
Elbrus Tedieiev,2004,1,0,0
Georgy Tsurtsumia,2004,0,1,0
Tonya Verbeek,2004,0,1,0
Wang Xu,2004,1,0,0
Marko Yli-Hannuksela,2004,0,1,0
Saori Yoshida,2004,1,0,0
Namiq Abdullayev,2000,1,0,0
Filiberto Azcuy,2000,1,0,0
Sándor István Bárdosi,2000,0,1,0
Serafim Barzakov,2000,0,1,0
Islam Bayramukov,2000,0,1,0
Adem Bereket,2000,0,0,1
Terry Brands,2000,0,0,1
Yevhen Buslovych,2000,0,1,0
Ak'ak'i Chachua,2000,0,0,1
Ali Reza Dabir,2000,1,0,0
Dmitry Debelka,2000,0,0,1
Rulon Gardner,2000,1,0,0
Arsen Gitinov,2000,0,1,0
Aleksey Glushkov,2000,0,0,1
Sammie Henson,2000,0,1,0
Mogamed Ibragimov,2000,0,0,1
Daniel Igali,2000,1,0,0
Jang Jae-Seong,2000,0,0,1
Eldar K'urt'anidze,2000,0,0,1
Kang Yong-Gyun,2000,0,0,1
Amiran Kardanov,2000,0,0,1
Murat Kardanov,2000,1,0,0
Aleksandr Karelin,2000,0,1,0
Kim In-Seop,2000,0,1,0
Matt Lindland,2000,0,1,0
Mikael Ljungberg,2000,1,0,0
Garrett Lowney,2000,0,0,1
Juan Luis Marén,2000,0,1,0
Lincoln McIlravy,2000,0,0,1
Mun Ui-Je,2000,0,1,0
Sagid Murtazaliyev,2000,1,0,0
David Musulbes,2000,1,0,0
Katsuhiko Nagata,2000,0,1,0
Armen Nazaryan,2000,1,0,0
Lázaro Rivas,2000,0,1,0
Alexis Rodríguez,2000,0,0,1
Yoel Romero,2000,0,1,0
David Saldadze,2000,0,1,0
Varteres Samurgashev,2000,1,0,0
Adam Saytiyev,2000,1,0,0
Sheng Zetian,2000,0,0,1
Sim Gwon-Ho,2000,1,0,0
Brandon Slay,2000,1,0,0
Artur Taymazov,2000,0,1,0
Murad Umakhanov,2000,1,0,0
Mukhran Vakht'angadze,2000,0,0,1
Hamza Yerlikaya,2000,1,0,0
Marko Yli-Hannuksela,2000,0,0,1
Ruslan Albegov,2012,0,0,1
Sajjad Anoushiravani,2012,0,1,0
Apti Aukhadov,2012,0,1,0
Bartlomiej Bonk,2012,0,0,1
Iván Cambar,2012,0,0,1
Zulfiya Chinshanlo,2012,1,0,0
Anatolii Cîrîcu,2012,0,0,1
Roxana Cocos,2012,0,1,0
Oscar Figueroa,2012,0,1,0
Christine Girard,2012,0,0,1
Hsu Shu-Ching,2012,0,1,0
Ilya Ilyin,2012,1,0,0
Cristina Iovu,2012,0,0,1
Eko Irawan,2012,0,0,1
Aleksandr Ivanov,2012,0,1,0
Yuliya Kalina,2012,0,0,1
Tatyana Kashirina,2012,0,1,0
Hripsime Khurshudyan,2012,0,0,1
Kim Un-Guk,2012,1,0,0
Irina Kulesha,2012,0,0,1
Li Xueying,2012,1,0,0
Lin Qingfeng,2012,1,0,0
Lu Haojie,2012,0,1,0
Lu Xiaojun,2012,1,0,0
Maiya Maneza,2012,1,0,0
Razvan Martin,2012,0,0,1
Hiromi Miyake,2012,0,1,0
Navab Nasirshelal,2012,0,1,0
Om Yun-Chol,2012,1,0,0
Svetlana Podobedova,2012,1,0,0
Rim Jong-Sim,2012,1,0,0
Kianoush Rostami,2012,0,0,1
Ryang Chun-Hwa,2012,0,0,1
Behdad Salimi,2012,1,0,0
Marina Shkermankova,2012,0,0,1
Pimsiri Sirikaew,2012,0,1,0
Oleksiy Torokhtiy,2012,1,0,0
Triyatno,2012,0,1,0
Svetlana Tsarukayeva,2012,0,1,0
Wang Mingjuan,2012,1,0,0
Wu Jingbiao,2012,0,1,0
Valentin Xristov,2012,0,0,1
Nataliya Zabolotnaya,2012,0,1,0
Zhou Lulu,2012,1,0,0
Adrian Zielinski,2012,1,0,0
Khadzhimurat Akkayev,2008,0,0,1
Andrey Aryamnov,2008,1,0,0
Cao Lei,2008,1,0,0
Chen Wei-Ling,2008,0,0,1
Chen Xiexia,2008,1,0,0
Chen Yanqing,2008,1,0,0
Yevgeny Chigishev,2008,0,1,0
Vencelas Dabaya,2008,0,1,0
Gevorg Davtyan,2008,0,0,1
Nataliya Davydova,2008,0,0,1
Mariya Grabovetskaya,2008,0,0,1
Hoàng Anh Tu?n,2008,0,1,0
Ilya Ilyin,2008,1,0,0
Eko Irawan,2008,0,0,1
Jang Mi-Ran,2008,1,0,0
Prapawadee Jaroenrattanatarakoon,2008,1,0,0
Dmitry Klokov,2008,0,1,0
Olha Korobka,2008,0,1,0
Szymon Kolecki,2008,0,1,0
Dmitry Lapikov,2008,0,0,1
Li Hongli,2008,0,1,0
Liao Hui,2008,1,0,0
Liu Chunhong,2008,1,0,0
Long Qingquan,2008,1,0,0
Lu Ying-Chi,2008,0,0,1
Lu Yong,2008,1,0,0
Tigran G. Martirosyan,2008,0,0,1
Tigran V. Martirosyan,2008,0,0,1
Irina Nekrasova,2008,0,1,0
Anastasiya Novikova,2008,0,0,1
O Jong-Ae,2008,0,0,1
Sibel Özkan,2008,0,1,0
Pak Hyon-Suk,2008,1,0,0
Andrey Rybakov,2008,0,1,0
Sa Jae-Hyeok,2008,1,0,0
Diego Fernando Salazar,2008,0,1,0
Viktors Šcerbatihs,2008,0,0,1
Marina Shainova,2008,0,1,0
Oksana Slivenko,2008,0,1,0
Matthias Steiner,2008,1,0,0
Triyatno,2008,0,0,1
Alla Vazhenina,2008,0,1,0
Nadezhda Yevstyukhina,2008,0,0,1
Yoon Jin-Hee,2008,0,1,0
Zhang Xiangxiang,2008,1,0,0
Khadzhimurat Akkayev,2004,0,1,0
Sedat Artuç,2004,0,0,1
Giorgi Asanidze,2004,1,0,0
Anna Batyushko,2004,0,1,0
Dmitry Berestov,2004,1,0,0
Chen Yanqing,2004,1,0,0
Veliçko Çolakov,2004,0,0,1
Pyrros Dimas,2004,0,0,1
Milen Dobrev,2004,1,0,0
Sergey Filimonov,2004,0,1,0
Jang Mi-Ran,2004,0,1,0
Wandee Kameaim,2004,0,0,1
Zarema Kasayeva,2004,0,0,1
Eszter Krutzler,2004,0,1,0
Le Maosheng,2004,0,1,0
Lee Bae-Yeong,2004,0,1,0
Li Zhuo,2004,0,1,0
Liu Chunhong,2004,1,0,0
Mabel Mosquera,2004,0,0,1
Halil Mutlu,2004,1,0,0
Oleg Perepechonov,2004,0,0,1
Nikolay Peshalov,2004,0,0,1
Gleb Pisarevsky,2004,0,0,1
Udomporn Polsak,2004,1,0,0
Valentina Popova,2004,0,0,1
Ihor Razoronov,2004,0,1,0
Hossein Reza Zadeh,2004,1,0,0
Ri Song-Hui,2004,0,1,0
Israel José Rubio,2004,0,0,1
Raema Lisa Rumbewas,2004,0,1,0
Andrey Rybakov,2004,0,1,0
Taner Sagir,2004,1,0,0
Viktors Šcerbatihs,2004,0,1,0
Shi Zhiyong,2004,1,0,0
Nataliya Skakun,2004,1,0,0
Tatyana Stukalova,2004,0,0,1
Tang Gonghong,2004,1,0,0
Nurcan Taylan,2004,1,0,0
Pawina Thongsuk,2004,1,0,0
Eduard Tyukin,2004,0,0,1
Aree Wiratthaworn,2004,0,0,1
Agata Wróbel,2004,0,0,1
Wu Meijin,2004,0,1,0
Nataliya Zabolotnaya,2004,0,1,0
Zhang Guozheng,2004,1,0,0
Giorgi Asanidze,2000,0,0,1
Galabin Boevski,2000,1,0,0
Andrey Chemerkin,2000,0,0,1
Chen Xiaomin,2000,1,0,0
Pyrros Dimas,2000,1,0,0
Ding Meiyuan,2000,1,0,0
Cheryl Haworth,2000,0,0,1
Marc Huster,2000,0,1,0
Sri Indriyani,2000,0,0,1
Soraya Jiménez,2000,1,0,0
Akakios Kakiasvili,2000,1,0,0
Ioanna Khatziioannou,2000,0,0,1
Szymon Kolecki,2000,0,1,0
Kuo Yi-Hang,2000,0,0,1
Sergey Lavrenov,2000,0,0,1
Li Feng-Ying,2000,0,1,0
Lin Weining,2000,1,0,0
Karnam Malleswari,2000,0,0,1
Georgi Markov,2000,0,1,0
Erzsébet Márkus-Peresztegi,2000,0,1,0
Arsen Melikyan,2000,0,0,1
Viktor Mitrou,2000,0,1,0
Halil Mutlu,2000,1,0,0
Tara Nott-Cunningham,2000,1,0,0
Ruth Ogbeifo,2000,0,1,0
Gennady Oleshchuk,2000,0,0,1
Nikolay Peshalov,2000,1,0,0
Aleksey Petrov,2000,0,0,1
Valentina Popova,2000,0,1,0
Hossein Reza Zadeh,2000,1,0,0
Ri Song-Hui,2000,0,1,0
Raema Lisa Rumbewas,2000,0,1,0
Leonidas Sabanis,2000,0,1,0
Asaad Said Saif,2000,0,0,1
Winarni Binti Slamet,2000,0,0,1
Khassaraporn Suta,2000,0,0,1
Hossein Tavakoli,2000,1,0,0
Alan Tsagaev,2000,0,1,0
María Isabel Urrutia,2000,1,0,0
Ronny Weller,2000,0,1,0
Agata Wróbel,2000,0,1,0
Wu Wenxiong,2000,0,1,0
Yang Xia,2000,1,0,0
Zhan Xugang,2000,1,0,0
Zhang Xiangxiang,2000,0,0,1
Matteo Aicardi,2012,0,1,0
Milan Aleksic,2012,0,0,1
Betsey Armstrong,2012,1,0,0
Marta Bach,2012,0,1,0
Samir Barac,2012,1,0,0
Gemma Beadsworth,2012,0,0,1
Andrea Blas,2012,0,1,0
Miho Boškovic,2012,1,0,0
Victoria Brown,2012,0,0,1
Ivan Buljubašic,2012,1,0,0
Damir Buric,2012,1,0,0
Andro Bušlje,2012,1,0,0
Kami Craig,2012,1,0,0
Nikša Dobud,2012,1,0,0
Annika Dries,2012,1,0,0
Anna Espar,2012,0,1,0
Laura Ester,2012,0,1,0
Maurizio Felugo,2012,0,1,0
Pietro Figlioli,2012,0,1,0
Filip Filipovic,2012,0,0,1
Deni Fiorentini,2012,0,1,0
Valentino Gallo,2012,0,1,0
Maica García,2012,0,1,0
Massimo Giacoppo,2012,0,1,0
Alex Giorgetti,2012,0,1,0
Niccolò Gitto,2012,0,1,0
Živko Gocic,2012,0,0,1
Kate Gynther,2012,0,0,1
Igor Hinic,2012,1,0,0
Maro Jokovic,2012,1,0,0
Bronwen Knox,2012,0,0,1
Holly Lincoln-Smith,2012,0,0,1
Laura López,2012,0,1,0
Dušan Mandic,2012,0,0,1
Courtney Mathewson,2012,1,0,0
Alicia McCormack,2012,0,0,1
Ona Meseguer,2012,0,1,0
Lorena Miranda,2012,0,1,0
Stefan Mitrovic,2012,0,0,1
Jane Moran,2012,0,0,1
Petar Muslim,2012,1,0,0
Slobodan Nikic,2012,0,0,1
Paulo Obradovic,2012,1,0,0
Mati Ortíz,2012,0,1,0
Jenny Pareja,2012,0,1,0
Giacomo Pastorino,2012,0,1,0
Josip Pavic,2012,1,0,0
Pilar Peña,2012,0,1,0
Amaurys Perez,2012,0,1,0
Heather Petri,2012,1,0,0
Duško Pijetlovic,2012,0,0,1
Gojko Pijetlovic,2012,0,0,1
Danijel Premuš,2012,0,1,0
Christian Presciutti,2012,0,1,0
Andrija Prlainovic,2012,0,0,1
Glencora Ralph,2012,0,0,1
Nikola Raden,2012,0,0,1
Mel Rippon,2012,0,0,1
Kelly Rulon,2012,1,0,0
Aleksa Šaponjic,2012,0,0,1
Melissa Seidemann,2012,1,0,0
Sophie Smith,2012,0,0,1
Slobodan Soro,2012,0,0,1
Ash Southern,2012,0,0,1
Jessica Steffens,2012,1,0,0
Maggie Steffens,2012,1,0,0
Sandro Sukno,2012,1,0,0
Roser Tarragó,2012,0,1,0
Stefano Tempesti,2012,0,1,0
Vanja Udovicic,2012,0,0,1
Frano Vican,2012,1,0,0
Brenda Villa,2012,1,0,0
Rowie Webster,2012,0,0,1
Lauren Wenger,2012,1,0,0
Elsie Windes,2012,1,0,0
Nicola Zagame,2012,0,0,1
Betsey Armstrong,2008,0,1,0
Tony Azevedo,2008,0,1,0
Ryan Bailey,2008,0,1,0
Gemma Beadsworth,2008,0,0,1
Layne Beaubien,2008,0,1,0
Tibor Benedek,2008,1,0,0
Péter Biros,2008,1,0,0
Brandon Brooks,2008,0,1,0
Mieke Cabout,2008,1,0,0
Patty Cardenas,2008,0,1,0
Aleksandar Ciric,2008,0,0,1
Kami Craig,2008,0,1,0
Nikita Cuffe,2008,0,0,1
Daniëlle de Bruijn,2008,1,0,0
Filip Filipovic,2008,0,0,1
Suzie Fraser,2008,0,0,1
István Gergely,2008,1,0,0
Živko Gocic,2008,0,0,1
Taniele Gofers,2008,0,0,1
Natalie Golda,2008,0,1,0
Alison Gregorka,2008,0,1,0
Rianne Guichelaar,2008,1,0,0
Kate Gynther,2008,0,0,1
Biurakn Hakhverdian,2008,1,0,0
Brittany Hayes,2008,0,1,0
Amy Hetzel,2008,0,0,1
Jaime Hipp,2008,0,1,0
Norbert Hosnyánszky,2008,1,0,0
Peter Hudnut,2008,0,1,0
Tim Hutten,2008,0,1,0
Tamás Kásás,2008,1,0,0
Gábor Kis,2008,1,0,0
Gergo Kiss,2008,1,0,0
Noeki Klein,2008,1,0,0
Bronwen Knox,2008,0,0,1
Emma Knox,2008,0,0,1
Simone Koot,2008,1,0,0
J. W. Krumpholz,2008,0,1,0
Norbert Madaras,2008,1,0,0
Alicia McCormack,2008,0,0,1
Rick Merlo,2008,0,1,0
Tamás Molnár,2008,1,0,0
Merrill Moses,2008,0,1,0
Branko Pekovic,2008,0,0,1
Heather Petri,2008,0,1,0
Duško Pijetlovic,2008,0,0,1
Jeff Powers,2008,0,1,0
Andrija Prlainovic,2008,0,0,1
Nikola Raden,2008,0,0,1
Bec Rippon,2008,0,0,1
Mel Rippon,2008,0,0,1
Jenna Santoromito,2008,0,0,1
Mia Santoromito,2008,0,0,1
Aleksandar Šapic,2008,0,0,1
Dejan Savic,2008,0,0,1
Denis Šefik,2008,0,0,1
Alette Sijbring,2008,1,0,0
Yasemin Smit,2008,1,0,0
Jesse Smith,2008,0,1,0
Slobodan Soro,2008,0,0,1
Jessica Steffens,2008,0,1,0
Zoltán Szécsi,2008,1,0,0
Vanja Udovicic,2008,0,0,1
Iefke van Belkum,2008,1,0,0
Gillian van den Berg,2008,1,0,0
Marieke van den Ham,2008,1,0,0
Ilse van der Meijden,2008,1,0,0
Moriah Van Norman,2008,0,1,0
Peter Varellas,2008,0,1,0
Dániel Varga,2008,1,0,0
Dénes Varga,2008,1,0,0
Tamás Varga,2008,1,0,0
Brenda Villa,2008,0,1,0
Vlada Vujasinovic,2008,0,0,1
Lauren Wenger,2008,0,1,0
Elsie Windes,2008,0,1,0
Adam Wright,2008,0,1,0
Carmela Allucci,2004,1,0,0
Alexandra Araujo,2004,1,0,0
Dimitra Asilian,2004,0,1,0
Roman Balashov,2004,0,0,1
Robin Beauregard,2004,0,0,1
Tibor Benedek,2004,1,0,0
Péter Biros,2004,1,0,0
Silvia Bosurgi,2004,1,0,0
Revaz Chomakhidze,2004,0,0,1
Aleksandar Ciric,2004,0,1,0
Francesca Conti,2004,1,0,0
Tania Di Mario,2004,1,0,0
Margaret Dingeldein,2004,0,0,1
Georgia Ellinaki,2004,0,1,0
Ellen Estes,2004,0,0,1
Aleksandr Fedorov,2004,0,0,1
Rajmund Fodor,2004,1,0,0
Jacqueline Frank,2004,0,0,1
Sergey Garbuzov,2004,0,0,1
István Gergely,2004,1,0,0
Elena Gigli,2004,1,0,0
Vladimir Gojkovic,2004,0,1,0
Natalie Golda,2004,0,0,1
Dmitry Gorshkov,2004,0,0,1
Melania Grego,2004,1,0,0
Danilo Ikodinovic,2004,0,1,0
Viktor Jelenic,2004,0,1,0
Predrag Jokic,2004,0,1,0
Eftykhia Karagianni,2004,0,1,0
Angeliki Karapataki,2004,0,1,0
Tamás Kásás,2004,1,0,0
Gergo Kiss,2004,1,0,0
Nikolay Kozlov,2004,0,0,1
Voula Kozomboli,2004,0,1,0
Georgia Lara,2004,0,1,0
Kiki Liosi,2004,0,1,0
Ericka Lorenz,2004,0,0,1
Norbert Madaras,2004,1,0,0
Nikolay Maksimov,2004,0,0,1
Giusi Malato,2004,1,0,0
Antiopi Melidoni,2004,0,1,0
Martina Miceli,2004,1,0,0
Tamás Molnár,2004,1,0,0
Heather Moody,2004,0,0,1
Tonia Moraiti,2004,0,1,0
Evi Moraitidou,2004,0,1,0
Thalia Munro,2004,0,0,1
Maddalena Musumeci,2004,1,0,0
Anthi Mylonaki,2004,0,1,0
Slobodan Nikic,2004,0,1,0
Katerina Oikonomopoulou,2004,0,1,0
Heather Petri,2004,0,0,1
Cinzia Ragusa,2004,1,0,0
Andrey Rekechinsky,2004,0,0,1
Antigoni Roumbesi,2004,0,1,0
Kelly Rulon,2004,0,0,1
Aleksandar Šapic,2004,0,1,0
Dejan Savic,2004,0,1,0
Denis Šefik,2004,0,1,0
Amber Stachowski,2004,0,0,1
Ádám Steinmetz,2004,1,0,0
Barnabás Steinmetz,2004,1,0,0
Dmitry Stratan,2004,0,0,1
Zoltán Szécsi,2004,1,0,0
Noémi Tóth,2004,1,0,0
Petar Trbojevic,2004,0,1,0
Vanja Udovicic,2004,0,1,0
Tamás Varga,2004,1,0,0
Attila Vári,2004,1,0,0
Brenda Villa,2004,0,0,1
Vlada Vujasinovic,2004,0,1,0
Aleksandr Yeryshov,2004,0,0,1
Vitaly Yurchik,2004,0,0,1
Marat Zakirov,2004,0,0,1
Emanuela Zanchi,2004,1,0,0
Irek Zinnurov,2004,0,0,1
Marina Akobiya,2000,0,0,1
Yekaterina Anikeyeva,2000,0,0,1
Roman Balashov,2000,0,1,0
Robin Beauregard,2000,0,1,0
Tibor Benedek,2000,1,0,0
Péter Biros,2000,1,0,0
Naomi Castle,2000,1,0,0
Revaz Chomakhidze,2000,0,1,0
Aleksandar Ciric,2000,0,0,1
Dmitry Dugin,2000,0,1,0
Ellen Estes,2000,0,1,0
Rajmund Fodor,2000,1,0,0
Joanne Fox,2000,1,0,0
Sergey Garbuzov,2000,0,1,0
Dmitry Gorshkov,2000,0,1,0
Bridgette Gusterson,2000,1,0,0
Simone Hankin,2000,1,0,0
Yvette Higgins,2000,1,0,0
Kate Hooper,2000,1,0,0
Danilo Ikodinovic,2000,0,0,1
Viktor Jelenic,2000,0,0,1
Courtney Johnson,2000,0,1,0
Tamás Kásás,2000,1,0,0
Gergo Kiss,2000,1,0,0
Sofiya Konukh,2000,0,0,1
Mariya Korolyova,2000,0,0,1
Zoltán Kósz,2000,1,0,0
Nikolay Kozlov,2000,0,1,0
Nikola Kuljaca,2000,0,0,1
Nataliya Kutuzova,2000,0,0,1
Svetlana Kuzina,2000,0,0,1
Ericka Lorenz,2000,0,1,0
Nikolay Maksimov,2000,0,1,0
Tamás Märcz,2000,1,0,0
Bronwyn Mayer-Smith,2000,1,0,0
Gail Miller,2000,1,0,0
Melissa Mills,2000,1,0,0
Tamás Molnár,2000,1,0,0
Heather Moody,2000,0,1,0
Mo O'Toole,2000,0,1,0
Bernice Orwig,2000,0,1,0
Nicolle Payne,2000,0,1,0
Heather Petri,2000,0,1,0
Tatyana Petrova,2000,0,0,1
Yuliya Petrova,2000,0,0,1
Galina Rytova,2000,0,0,1
Aleksandar Šapic,2000,0,0,1
Dejan Savic,2000,0,0,1
Kathy Sheehy,2000,0,1,0
Coralie Simmons,2000,0,1,0
Yelena Smurova,2000,0,0,1
Aleksandar Šoštar,2000,0,0,1
Barnabás Steinmetz,2000,1,0,0
Dmitry Stratan,2000,0,1,0
Julie Swail-Ertel,2000,0,1,0
Zoltán Szécsi,2000,1,0,0
Bulcsú Székely,2000,1,0,0
Yelena Tokun,2000,0,0,1
Irina Tolkunova,2000,0,0,1
Petar Trbojevic,2000,0,0,1
Veljko Uskokovic,2000,0,0,1
Zsolt Varga,2000,1,0,0
Attila Vári,2000,1,0,0
Yekaterina Vasilyeva,2000,0,0,1
Jugoslav Vasovic,2000,0,0,1
Brenda Villa,2000,0,1,0
Vlada Vujasinovic,2000,0,0,1
Nenad Vukanic,2000,0,0,1
Debbie Watson,2000,1,0,0
Liz Weekes,2000,1,0,0
Danielle Woodhouse,2000,1,0,0
Taryn Woods,2000,1,0,0
Yury Yatsev,2000,0,1,0
Aleksandr Yeryshov,2000,0,1,0
Marat Zakirov,2000,0,1,0
Predrag Zimonjic,2000,0,0,1
Irek Zinnurov,2000,0,1,0
,2012,0,1,0
,2012,0,1,0
,2012,0,1,0
Foluke Akinradewo,2012,0,1,0
Thiago Alves,2012,0,1,0
Nikolay Apalikov,2012,1,0,0
Erika Araki,2012,0,0,1
Andrea Bari,2012,0,0,1
Yury Berezhko,2012,1,0,0
Lindsey Berg,2012,0,1,0
Emanuele Birarelli,2012,0,0,1
Dante Boninfante,2012,0,0,1
Aleksandr Butko,2012,1,0,0
Tandara Caixeta,2012,1,0,0
Adenízia da Silva,2012,1,0,0
Dante,2012,0,1,0
Nicole Davis,2012,0,1,0
Wallace de Souza,2012,0,1,0
Yukiko Ebata,2012,0,0,1
Fabi,2012,1,0,0
Fabiana,2012,1,0,0
Alessandro Fei,2012,0,0,1
Fernandinha,2012,1,0,0
Giba,2012,0,1,0
Andrea Giovi,2012,0,0,1
Sergey Grankin,2012,1,0,0
Tayyiba Haneef-Park,2012,0,1,0
Christa Harmotto,2012,0,1,0
Megan Hodge,2012,0,1,0
Destinee Hooker,2012,0,1,0
Dmitry Ilyinykh,2012,1,0,0
Kaori Inoue,2012,0,0,1
Pereira de Carvalho Endres Jaque,2012,1,0,0
Maiko Kano,2012,0,0,1
Taras Khtey,2012,1,0,0
Saori Kimura,2012,0,0,1
Jordan Larson,2012,0,1,0
Michal Lasko,2012,0,0,1
Dani Lins,2012,1,0,0
Luigi Mastrangelo,2012,0,0,1
Maksim Mikhaylov,2012,1,0,0
Tamari Miyashiro,2012,0,1,0
Murilo,2012,0,1,0
Dmitry Musersky,2012,1,0,0
Hitomi Nakamichi,2012,0,0,1
Leandro Neves,2012,0,1,0
Aleksey Obmochayev,2012,1,0,0
Ai Otomo-Yamamoto,2012,0,0,1
Samuele Papi,2012,0,0,1
Simone Parodi,2012,0,0,1
Paula,2012,1,0,0
Natália Pereira,2012,1,0,0
