Athlete,Year,Gold Medals,Silver Medals,Bronze Medals
Vincent Jay,2010,1,0,1
Anastasia Kuzmina,2010,1,1,0
Christoph Sumann,2010,0,2,0
Yevgeny Ustyugov,2010,1,0,1
Olga Zaytseva,2010,1,1,0
Florence Baverel-Robert,2006,1,0,1
Vincent Defrasne,2006,1,0,1
Halvard Hanevold,2006,0,1,1
Svetlana Ishmuratova,2006,2,0,0
Anna-Carin Olofsson-Zidek,2006,1,1,0
Uschi Disl,2002,1,1,0
Sven Fischer,2002,0,2,0
Ricco Groß,2002,0,1,1
Andrea Henkel,2002,2,0,0
Frank Luck,2002,0,2,0
Raphaël Poirée,2002,0,1,1
Olga Pylyova-Medvedtseva,2002,1,0,1
Liv Grete Skjelbreid-Poirée,2002,0,2,0
Magdalena Wallin-Forsberg,2002,0,0,2
Zhao Yunlei,2012,2,0,0
Lee Hyo-Jeong,2008,1,1,0
Yu Yang,2008,1,0,1
Gao Ling,2004,1,1,0
Gao Ling,2000,1,0,1
Nataliya Antyukh,2012,1,1,0
Veronica Campbell-Brown,2012,0,1,1
Vivian Cheruiyot,2012,0,1,1
Will Claye,2012,0,1,1
Tirunesh Dibaba,2012,1,0,1
Mo Farah,2012,2,0,0
Justin Gatlin,2012,0,1,1
Lalonde Gordon,2012,0,0,2
Sanya Richards-Ross,2012,2,0,0
DeeDee Trotter,2012,1,0,1
Elvan Abeylegesse,2008,0,2,0
Kenenisa Bekele,2008,2,0,0
Kerron Clement,2008,1,1,0
Tirunesh Dibaba,2008,2,0,0
Walter Dix,2008,0,0,2
Allyson Felix,2008,1,1,0
Yuliya Gushchina,2008,1,1,0
Tatyana Lebedeva,2008,0,2,0
LaShawn Merritt,2008,2,0,0
David Neville,2008,1,0,1
Sanya Richards-Ross,2008,1,0,1
Kerron Stewart,2008,0,1,1
Jared Tallent,2008,0,1,1
Angelo Taylor,2008,2,0,0
Richard Thompson,2008,0,2,0
Jeremy Wariner,2008,1,1,0
Shericka Williams,2008,0,1,1
Nataliya Antyukh,2004,0,1,1
Kenenisa Bekele,2004,1,1,0
Derrick Brew,2004,1,0,1
Shawn Crawford,2004,1,1,0
Hicham El Guerrouj,2004,2,0,0
Maurice Greene,2004,0,1,1
Otis Harris,2004,1,1,0
Kelly Holmes,2004,2,0,0
Tatyana Lebedeva,2004,1,0,1
Jeremy Wariner,2004,2,0,0
Ato Boldon,2000,0,1,1
Pauline Davis-Thompson,2000,2,0,0
Lorraine Graham,2000,0,2,0
Maurice Greene,2000,2,0,0
Greg Haughton,2000,0,1,1
